Company Name,Ticker Symbol,Sector,Total ESG Score,Environmental Score,Social Score,Governance Score,Highest Controversy,Overall Risk,Full-time Employees,Market Cap,Revenue Growth,YTD Return
Intel,INTC,Information Technology,18.87,4.93,7.32,6.62,3.0,5,124100.0,84189757440,-0.062,9.98%
Intuit,INTU,Information Technology,16.41,0.97,10.7,4.73,2.0,2,18800.0,180095795200,0.41,-2.34%
International Paper,IP,Materials,24.47,15.15,4.5,4.81,3.0,5,39000.0,18916366336,0.016,-0.32%
Interpublic Group of Companies (The),IPG,Communication Services,10.32,0.04,5.0,5.28,1.0,10,55100.0,10829010944,-0.029,-6.78%
IQVIA,IQV,Health Care,19.14,1.3,10.62,7.22,2.0,8,88000.0,35804504064,0.043,-12.86%
Iron Mountain,IRM,Real Estate,14.5,5.0,3.74,5.76,2.0,5,27000.0,30842646528,0.122,-17.33%
Intuitive Surgical,ISRG,Health Care,21.07,3.65,9.58,7.84,1.0,3,13676.0,186790952960,0.169,-4.90%
Gartner,IT,Information Technology,18.93,0.11,13.17,5.64,1.0,1,20990.0,37892227072,0.054,-14.60%
Illinois Tool Works,ITW,Industrials,25.29,7.0,11.78,6.52,2.0,3,45000.0,76429549568,-0.016,-1.92%
Invesco,IVZ,Financials,22.79,0.73,11.02,11.04,2.0,3,8524.0,7788795392,0.051,-13.10%
Jacobs Solutions,J,Industrials,22.37,5.29,11.46,5.62,3.0,7,60000.0,16835307520,0.011,-8.71%
J.B. Hunt,JBHT,Industrials,14.82,3.28,6.55,5.0,1.0,8,34718.0,17164290048,-0.03,-12.27%
Johnson Controls,JCI,Industrials,14.43,4.49,4.55,5.39,3.0,6,100000.0,53398601728,-0.095,3.13%
Jack Henry & Associates,JKHY,Financials,18.66,4.32,8.66,5.68,0.0,7,7170.0,12894826496,0.052,4.97%
Johnson & Johnson,JNJ,Health Care,23.98,0.92,15.02,8.03,4.0,4,131900.0,347828879360,0.052,5.97%
Juniper Networks,JNPR,Information Technology,14.82,1.82,7.2,5.8,1.0,5,11144.0,12329754624,-0.048,-3.50%
JPMorgan Chase,JPM,Financials,29.26,1.11,16.45,11.7,3.0,5,316043.0,668924837888,0.03,1.65%
Kellanova,K,Consumer Staples,28.37,10.64,13.35,4.38,2.0,8,23000.0,27748188160,-0.007,1.89%
KeyCorp,KEY,Financials,21.42,1.59,9.16,10.66,1.0,4,16734.0,16941026304,-0.602,-7.82%
Keysight,KEYS,Information Technology,7.6,1.2,1.75,4.65,1.0,4,15400.0,28265295872,-0.119,-6.59%
Kraft Heinz,KHC,Consumer Staples,33.7,13.49,14.05,6.17,3.0,4,36000.0,36903870464,-0.028,-1.20%
Kimco Realty,KIM,Real Estate,10.9,2.35,2.58,5.97,0.0,5,660.0,15786977280,0.138,-9.77%
KLA Corporation,KLAC,Information Technology,17.19,7.41,5.13,4.64,0.0,4,15000.0,84184530944,0.185,8.31%
Kimberly-Clark,KMB,Consumer Staples,28.48,10.43,10.4,7.64,2.0,4,41000.0,43793252352,-0.035,9.15%
Kinder Morgan,KMI,Energy,18.96,8.28,7.19,3.49,2.0,9,10891.0,59651035136,-0.053,4.49%
CarMax,KMX,Consumer Discretionary,12.1,0.09,8.02,3.99,2.0,9,30000.0,12969826304,-0.002,-3.52%
Coca-Cola Company (The),KO,Consumer Staples,21.63,7.23,9.54,4.86,3.0,2,79100.0,269452886016,-0.008,15.44%
Kroger,KR,Consumer Staples,21.27,6.55,9.12,5.6,3.0,8,414000.0,44755030016,-0.006,11.43%
Loews Corporation,L,Financials,16.38,0.59,4.25,11.53,2.0,7,12280.0,18017040384,0.138,8.74%
Leidos,LDOS,Industrials,17.65,3.37,9.03,5.25,2.0,3,47000.0,19322431488,0.069,-6.32%
Lennar,LEN,Consumer Discretionary,25.36,11.26,8.55,5.55,2.0,10,12284.0,37306593280,0.079,-16.03%
LabCorp,LH,Health Care,19.74,0.43,12.71,6.6,2.0,4,67000.0,19120779264,0.074,1.45%
